Owner,total_capacity,number_of_plants,number_of_countries
Hebei Xinda Iron and Steel Co Ltd,5000.0,1,1
Quzhou Yuanli METAL Products Co Ltd,5000.0,1,1
Usinas Siderurgicas de Minas Gerais SA,5000.0,1,1
Tianjin Iron PLANT Co Ltd,4870.0,1,1
Shanxi Jinnan Iron and Steel Group Co Ltd,4800.0,1,1
Guangxi Chiji Iron and Steel Co Ltd,4800.0,1,1
Tokyo Steel Manufacturing Co Ltd,4786.0,4,1
Kardemir Karabuk Demir Çelik Sanayi Ve Ticaret AŞ,4751.0,2,1
Shanxi Jianlong Industrial Co Ltd,4750.0,2,1
JiuJiang PXSteel Co Ltd,4700.0,1,1
Shiheng SPECIAL Steel Group Co Ltd,4650.0,1,1
Tangshan Donghua Iron & Steel Enterprise Group Co Ltd,4600.0,2,1
Jincheng FUSHENG Iron & Steel Co Ltd,4600.0,1,1
Tonghua Iron & Steel Co Ltd,4590.0,1,1
Rockcheck Steel Group Co Ltd,4500.0,2,1
Habas Industrial and Medical Gases Production Industries AŞ,4500.0,1,1
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,4500.0,1,1
Çolakoğlu Metalürji AŞ,4500.0,1,1
US Steel Košice sro,4500.0,1,1
DeAcero SAPI de CV,4500.0,2,1
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,4500.0,1,1
Hanshan Iron and Steel Co Ltd,4488.0,1,1
Chengde Jianlong SPECIAL Steel Co Ltd,4400.0,1,1
Evraz NTMK JSC,4400.0,1,1
Gerdau Acominas SA,4360.0,1,1
Ternium México SA de CV,4330.0,3,1
Acciaieria Arvedi SpA,4300.0,1,1
Baowu Group Echeng Iron & Steel Co Ltd,4276.0,1,1
Tangshan Heavy Plate Co Ltd,4200.0,1,1
Jianlong Xilin Iron and Steel Co Ltd,4200.0,1,1
Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,4125.0,2,1
Wuan Yuhua Steel Co Ltd,4100.0,1,1
ArcelorMittal Dofasco GP,4050.0,2,1
PT Krakatau Steel (Persero) Tbk,4000.0,1,1
Jiugang Group Yuzhong Iron & Steel Co Ltd,4000.0,1,1
Ningbo Iron & Steel Co Ltd,3999.0,1,1
Saarstahl AG,3970.0,2,2
Hebei Taihang Iron and Steel Group Co Ltd,3950.0,1,1
Al Ezz Flat Steel Company SAE,3900.0,1,1
Pangang Group Xichang Steel and Vanadium Co Ltd,3900.0,1,1
Shandong Iron and Steel Co Ltd,3850.0,1,1
Eregli Demir ve Celik Fabrikalari AŞ,3801.0,1,1
Anhui Changjiang Steel Co Ltd,3800.0,1,1
ArcelorMittal Bremen GmbH,3800.0,2,1
Zenith Steel Group Co Ltd,3700.0,1,1
Fujian Great Dong Hai Industrial Group Co Ltd,3695.0,1,1
"Xinyang Iron & Steel Co.,ltd of Angang Group",3600.0,2,1
Dongkuk Steel Mill Co Ltd,3600.0,2,1
Shougang Changzhi IRON& Steel Co Ltd,3600.0,1,1
Shanxi Zhongyang Iron & Steel Co Ltd,3600.0,1,1
Esfahan Steel Co,3600.0,1,1
Khouzestan Steel Co,3600.0,2,1
Xinji AOSEN Steel Group Co Ltd,3600.0,1,1
Emsteel Building Materials PJSC,3600.0,1,1
Shougang Shuicheng Iron & Steel (Group) Co Ltd,3501.0,1,1
Ternium Argentina SA,3501.0,1,1
Ningxia Jianlong Special Steel Co Ltd,3500.0,1,1
Alliance Steel (M) Sdn Bhd,3500.0,1,1
Kamet-Steel PrJSC,3500.0,1,1
Oskol'skiy Elektrometallurgicheskiy Kombinat Imeni Alekseya Alekseyevicha Ugarova JSC,3500.0,1,1
Osaka Steel Co Ltd,3450.0,1,1
Qinhuangdao Hongxing Iron & Steel Co Ltd,3450.0,1,1
Henan Jiyuan Iron & Steel (Group) Co Ltd,3428.0,1,1
Daye SPECIAL Steel Co Ltd,3420.0,1,1
Guangxi BG New Materials Co Ltd,3400.0,1,1
Linyi Iron and Steel Investment Group Co Ltd,3400.0,1,1
Jiangsu Shagang Group Huaigang SPECIAL Steel Co Ltd,3387.0,2,1
ArcelorMittal South Africa Ltd,3360.0,2,1
JiLin Province Xinda Steel Co Ltd,3300.0,2,1
Hebei Xinjin Iron and Steel Co Ltd,3300.0,2,1
Yangzhou Hengrun Ocean Heavy Industry Co Ltd,3300.0,1,1
JSW Vijayanagar Metallics Ltd,3300.0,1,1
Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co Ltd,3293.0,2,1
Hubei Jinshenglan Metallurgical Technology Co Ltd,3250.0,1,1
Baosteel Desheng Stainless Steel Co Ltd,3220.0,1,1
British Steel Ltd,3201.0,1,1
Yancheng Lianxin Steel Co Ltd,3200.0,2,1
BlueScope Steel Ltd,3200.0,2,1
Al Ezz Dekheila Steel Company Alexandria SAE,3200.0,1,1
Nucor Yamato Steel Co,3174.0,1,1
Shandong Taishan Steel Group Co Ltd,3150.0,1,1
Nghi Son VAS Group JSC,3150.0,1,1
Changzhou Dongfang Special Steel Co Ltd,3120.0,2,1
Nucor Steel Decatur LLC,3100.0,1,1
Izmir Demir Celik Sanayi AŞ,3100.0,1,1
Xingtai Iron and Steel Co Ltd,3060.0,1,1
Zhuhai Yueyufeng IRON&STEEL Co Ltd,3051.0,1,1
Jiangsu Xusteel Group Co Ltd,3050.0,1,1
Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,3034.0,1,1
North Star BlueScope Steel Ltd,3034.0,1,1
Liberty Galati SA,3000.0,1,1
Anhui Shoukuang Dachang Metal Material Co Ltd,3000.0,1,1
Fujian Tsingtuo Nickel Industry Co Ltd,3000.0,1,1
PT Krakatau Posco,3000.0,1,1
Weifang SPECIAL Steel Group Co Ltd,3000.0,1,1
Shanxi Xintai Iron & Steel Co Ltd,3000.0,2,1
"Sichuan De Sheng Group, Vanadium and Titanium Co Ltd",3000.0,1,1
BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,3000.0,1,1
Shangang Group Hanzhong Iron & Steel Co Ltd,3000.0,1,1
KISCO Corp,3000.0,1,1
